timestamp,report_name,status,duration_sec,rows_output,files_uploaded,args,error
2026-02-28 05:11:35,Invoiced Report,SUCCESS,293,,,,
2026-02-28 05:23:38,Number 4 Report,SUCCESS,983,,,,
2026-02-28 09:06:38,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-02-28 09:06:42,Ordered Report,SUCCESS,1,,,--salesman all --period yesterday,
2026-02-28 09:06:59,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-02-28 09:07:12,Invoiced Report,SUCCESS,10,,,--salesman all --period yesterday,
2026-03-01 00:05:14,Ordered Report,STARTED,,,,--period mtd --customer 9300 9301,
2026-03-01 00:05:21,Ordered Report,SUCCESS,4,,,--period mtd --customer 9300 9301,
2026-03-01 00:06:48,Ordered Report,STARTED,,,,,
2026-03-01 00:18:54,Ordered Report,SUCCESS,723,,,,
2026-03-01 05:06:58,Number 4 Report,STARTED,,,,,
2026-03-01 05:07:03,Invoiced Report,STARTED,,,,,
2026-03-01 05:11:37,Invoiced Report,SUCCESS,272,,,,
2026-03-01 05:22:23,Number 4 Report,SUCCESS,922,,,,
2026-03-01 09:06:54,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-01 09:06:57,Invoiced Report,SUCCESS,1,,,--salesman all --period yesterday,
2026-03-01 09:07:06,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-03-01 09:07:08,Ordered Report,SUCCESS,0,,,--salesman all --period yesterday,
2026-03-02 00:07:13,Ordered Report,STARTED,,,,,
2026-03-02 00:18:41,Ordered Report,SUCCESS,685,,,,
2026-03-02 05:06:31,Invoiced Report,STARTED,,,,,
2026-03-02 05:06:59,Number 4 Report,STARTED,,,,,
2026-03-02 05:10:55,Invoiced Report,SUCCESS,261,,,,
2026-03-02 05:23:32,Number 4 Report,SUCCESS,990,,,,
2026-03-02 09:06:43,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-03-02 09:06:46,Ordered Report,SUCCESS,0,,,--salesman all --period yesterday,
2026-03-02 09:06:54,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-02 09:06:58,Invoiced Report,SUCCESS,1,,,--salesman all --period yesterday,
2026-03-03 00:08:04,Ordered Report,STARTED,,,,,
2026-03-03 00:20:53,Ordered Report,SUCCESS,766,,,,
2026-03-03 05:06:41,Number 4 Report,STARTED,,,,,
2026-03-03 05:06:53,Invoiced Report,STARTED,,,,,
2026-03-03 05:11:55,Invoiced Report,SUCCESS,299,,,,
2026-03-03 05:22:45,Number 4 Report,SUCCESS,961,,,,
2026-03-03 09:07:08,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-03 09:07:34,Invoiced Report,SUCCESS,23,,,--salesman all --period yesterday,
2026-03-04 00:07:28,Ordered Report,STARTED,,,,,
2026-03-04 00:20:32,Ordered Report,SUCCESS,781,,,,
2026-03-04 05:07:11,Number 4 Report,STARTED,,,,,
2026-03-04 05:07:39,Invoiced Report,STARTED,,,,,
2026-03-04 05:12:37,Invoiced Report,SUCCESS,296,,,,
2026-03-04 05:23:27,Number 4 Report,SUCCESS,974,,,,
2026-03-04 09:07:11,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-04 09:07:26,Invoiced Report,SUCCESS,13,,,--salesman all --period yesterday,
2026-03-04 09:08:01,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-03-04 09:08:04,Ordered Report,SUCCESS,1,,,--salesman all --period yesterday,
2026-03-05 00:07:41,Ordered Report,STARTED,,,,,
2026-03-05 00:07:46,Ordered Report,STARTED,,,,--customer 9303 9300 9301 --period last_7_days,
2026-03-05 00:08:24,Ordered Report,SUCCESS,36,,,--customer 9303 9300 9301 --period last_7_days,
2026-03-05 00:20:51,Ordered Report,SUCCESS,787,,,,
2026-03-05 05:06:34,Invoiced Report,STARTED,,,,,
2026-03-05 05:06:58,Number 4 Report,STARTED,,,,,
2026-03-05 05:11:29,Invoiced Report,SUCCESS,293,,,,
2026-03-05 05:22:56,Number 4 Report,SUCCESS,955,,,,
2026-03-05 09:07:17,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-05 09:07:28,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-03-05 09:07:30,Ordered Report,SUCCESS,0,,,--salesman all --period yesterday,
2026-03-05 09:07:33,Invoiced Report,SUCCESS,15,,,--salesman all --period yesterday,
2026-03-06 00:07:43,Ordered Report,STARTED,,,,,
2026-03-06 00:21:38,Ordered Report,SUCCESS,833,,,,
2026-03-06 05:06:29,Number 4 Report,STARTED,,,,,
2026-03-06 05:06:41,Invoiced Report,STARTED,,,,,
2026-03-06 05:10:57,Ordered Report,STARTED,,,,--customer 9301 9300 --period last_7_days --test,
2026-03-06 05:11:21,Ordered Report,SUCCESS,21,,,--customer 9301 9300 --period last_7_days --test,
2026-03-06 05:12:20,Invoiced Report,SUCCESS,337,,,,
2026-03-06 05:23:39,Number 4 Report,SUCCESS,1028,,,,
2026-03-06 05:43:39,Invoiced Report,STARTED,,,,,
2026-03-06 05:49:09,Invoiced Report,SUCCESS,327,,,,
2026-03-06 09:06:52,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-06 09:07:51,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-03-06 09:08:06,Ordered Report,SUCCESS,13,,,--salesman all --period yesterday,
2026-03-06 09:10:43,Invoiced Report,SUCCESS,228,,,--salesman all --period yesterday,
2026-03-07 00:07:23,Ordered Report,STARTED,,,,,
2026-03-07 00:21:41,Ordered Report,SUCCESS,856,,,,
2026-03-07 05:06:51,Invoiced Report,STARTED,,,,,
2026-03-07 05:07:04,Number 4 Report,STARTED,,,,,
2026-03-07 05:12:29,Invoiced Report,SUCCESS,336,,,,
2026-03-07 05:24:22,Number 4 Report,SUCCESS,1036,,,,
2026-03-07 09:07:16,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-03-07 09:07:35,Ordered Report,SUCCESS,17,,,--salesman all --period yesterday,
2026-03-07 09:07:38,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-07 09:11:31,Invoiced Report,SUCCESS,230,,,--salesman all --period yesterday,
2026-03-08 00:06:36,Ordered Report,STARTED,,,,,
2026-03-08 00:20:44,Ordered Report,SUCCESS,846,,,,
2026-03-08 04:06:34,Number 4 Report,STARTED,,,,,
2026-03-08 04:06:58,Invoiced Report,STARTED,,,,,
2026-03-08 04:12:22,Invoiced Report,SUCCESS,322,,,,
2026-03-08 04:22:18,Number 4 Report,SUCCESS,942,,,,
2026-03-08 08:06:32,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-08 08:10:02,Invoiced Report,SUCCESS,208,,,--salesman all --period yesterday,
2026-03-08 23:07:30,Ordered Report,STARTED,,,,,
2026-03-08 23:22:33,Ordered Report,SUCCESS,900,,,,
2026-03-09 04:06:46,Invoiced Report,STARTED,,,,,
2026-03-09 04:07:38,Number 4 Report,STARTED,,,,,
2026-03-09 04:12:04,Invoiced Report,SUCCESS,316,,,,
2026-03-09 04:24:25,Number 4 Report,SUCCESS,1004,,,,
2026-03-09 07:06:37,Salesman Report,STARTED,,,,,
2026-03-09 07:06:40,Salesman Report,FAILED,0,,,,"Traceback (most recent call last):
  File ""/usr/src/tmp/4135f523-e2e1-4799-8f0a-5b7bf4875d11/runbooks/universal_runbook.py"", line 443, in _run_one_report
    mod = importlib.import_module(runner_module)
  File ""/usr/lib/python3.10/importlib/__init__.py"", line 126, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 1050, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 1027, in _find_and_load
  File ""<frozen imp"
2026-03-09 08:07:16,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-09 08:07:36,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-03-09 08:08:02,Ordered Report,SUCCESS,18,,,--salesman all --period yesterday,
2026-03-09 08:11:05,Invoiced Report,SUCCESS,226,,,--salesman all --period yesterday,
2026-03-09 10:27:39,Salesman Report,STARTED,,,,--email,
2026-03-09 10:52:40,Salesman Report,STARTED,,,,--email --email,
2026-03-09 11:27:52,Salesman Report,SUCCESS,2108,,,--email --email,
2026-03-09 23:06:27,Customer Activity Report,STARTED,,,,--email --email,
2026-03-09 23:07:03,Ordered Report,STARTED,,,,,
2026-03-09 23:23:54,Ordered Report,SUCCESS,1008,,,,
2026-03-09 23:29:15,Customer Activity Report,SUCCESS,1364,,,--email --email,
2026-03-10 04:06:58,Invoiced Report,STARTED,,,,,
2026-03-10 04:07:10,Number 4 Report,STARTED,,,,,
2026-03-10 04:14:25,Invoiced Report,SUCCESS,443,,,,
2026-03-10 04:24:29,Number 4 Report,SUCCESS,1036,,,,
2026-03-10 07:07:35,Salesman Report,STARTED,,,,--email,
2026-03-10 07:39:47,Salesman Report,SUCCESS,1929,,,--email,
2026-03-10 08:06:52,Ordered Report,STARTED,,,,--salesman all --period yesterday,
2026-03-10 08:07:09,Invoiced Report,STARTED,,,,--salesman all --period yesterday,
2026-03-10 08:07:25,Ordered Report,SUCCESS,29,,,--salesman all --period yesterday,
2026-03-10 08:11:48,Invoiced Report,SUCCESS,277,,,--salesman all --period yesterday,
